"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 07:58:01 GMT 2022","Tue Sep 06 07:58:04 GMT 2022","3268","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"failed","Tue Sep 06 07:58:09 GMT 2022","Tue Sep 06 07:58:10 GMT 2022","457","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"failed","Tue Sep 06 07:58:09 GMT 2022","Tue Sep 06 07:58:09 GMT 2022","564","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 07:58:10 GMT 2022","Tue Sep 06 07:58:10 GMT 2022","354","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 07:58:10 GMT 2022","Tue Sep 06 07:58:12 GMT 2022","2094","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 07:58:10 GMT 2022","Tue Sep 06 07:58:19 GMT 2022","8877","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 07:58:01 GMT 2022","Tue Sep 06 07:58:11 GMT 2022","9764","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 07:58:09 GMT 2022","Tue Sep 06 07:58:10 GMT 2022","460","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 07:58:10 GMT 2022","Tue Sep 06 07:58:15 GMT 2022","4633","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 07:58:10 GMT 2022","Tue Sep 06 07:58:11 GMT 2022","1278","","Base page test","","Base page test","MOCK test request","MOCK test request",""
